chemin, class, classe_LOC, classe_CLOC, classe_DC, WMC, classe_BC
C:\Users\jeank\Downloads\jfreechart-master\jfreechart-master\src\main\java\org\jfree\chart\api\TableOrder.java,TableOrder,44,39,0.8863636,1,0.8863636
C:\Users\jeank\Downloads\jfreechart-master\jfreechart-master\src\main\java\org\jfree\chart\api\UnitType.java,UnitType,44,39,0.8863636,0,0.0
C:\Users\jeank\Downloads\jfreechart-master\jfreechart-master\src\main\java\org\jfree\chart\api\VerticalAlignment.java,VerticalAlignment,48,42,0.875,1,0.875
C:\Users\jeank\Downloads\jfreechart-master\jfreechart-master\src\main\java\org\jfree\chart\api\XYCoordinateType.java,XYCoordinateType,53,47,0.8867925,3,0.2955975
C:\Users\jeank\Downloads\jfreechart-master\jfreechart-master\src\main\java\org\jfree\chart\axis\Axis.java,Axis,1536,749,0.48763022,247,0.0019742113
C:\Users\jeank\Downloads\jfreechart-master\jfreechart-master\src\main\java\org\jfree\chart\axis\AxisCollection.java,AxisCollection,127,78,0.61417323,7,0.087739035
C:\Users\jeank\Downloads\jfreechart-master\jfreechart-master\src\main\java\org\jfree\chart\axis\AxisLabelLocation.java,AxisLabelLocation,47,41,0.87234044,0,0.0
C:\Users\jeank\Downloads\jfreechart-master\jfreechart-master\src\main\java\org\jfree\chart\axis\AxisLocation.java,AxisLocation,81,55,0.67901236,5,0.13580248
C:\Users\jeank\Downloads\jfreechart-master\jfreechart-master\src\main\java\org\jfree\chart\axis\AxisSpace.java,AxisSpace,342,157,0.45906433,63,0.0072867353
C:\Users\jeank\Downloads\jfreechart-master\jfreechart-master\src\main\java\org\jfree\chart\axis\AxisState.java,AxisState,175,109,0.62285715,13,0.047912087
C:\Users\jeank\Downloads\jfreechart-master\jfreechart-master\src\main\java\org\jfree\chart\axis\CategoryAnchor.java,CategoryAnchor,48,42,0.875,0,0.0
C:\Users\jeank\Downloads\jfreechart-master\jfreechart-master\src\main\java\org\jfree\chart\axis\CategoryAxis.java,CategoryAxis,1296,584,0.45061728,218,0.0020670518
C:\Users\jeank\Downloads\jfreechart-master\jfreechart-master\src\main\java\org\jfree\chart\axis\CategoryLabelPosition.java,CategoryLabelPosition,229,133,0.58078605,36,0.016132945
C:\Users\jeank\Downloads\jfreechart-master\jfreechart-master\src\main\java\org\jfree\chart\axis\CategoryLabelPositions.java,CategoryLabelPositions,366,173,0.4726776,36,0.013129933
C:\Users\jeank\Downloads\jfreechart-master\jfreechart-master\src\main\java\org\jfree\chart\axis\CategoryLabelWidthType.java,CategoryLabelWidthType,45,40,0.8888889,0,0.0
C:\Users\jeank\Downloads\jfreechart-master\jfreechart-master\src\main\java\org\jfree\chart\axis\CategoryTick.java,CategoryTick,132,80,0.6060606,11,0.05509642
C:\Users\jeank\Downloads\jfreechart-master\jfreechart-master\src\main\java\org\jfree\chart\axis\CompassFormat.java,CompassFormat,140,92,0.6571429,8,0.08214286
C:\Users\jeank\Downloads\jfreechart-
